Pertanyaan,Jawaban
"Dulu pas kuliah, tempat belajarnya di mana aja?","Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Ada kelas online atau offline gitu?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Boleh milih kampus sendiri nggak?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Bisa milih kuliah di Denpasar atau Bangli nggak?,"Prodi Informatika memiliki dua kampus yaitu di Denpasar dan di Bangli. Masing-masing kampus terdapat ruangan kuliah dan lab komputer. Di setiap kampus tersedia akses internet yang dapat digunakan oleh mahasiswa. Kampus Ratna Denpasar ada di Jalan Ratna Denpasar. Lokasinya strategis berada di pusat kota. Mahasiswa boleh memilih untuk kuliah di Denpasar atau Bangli. Apabila memilih untuk kuliah di Denpasar, maka mahasiswa tidak akan diminta untuk berkuliah di Kampus Bangli, demikian pula sebaliknya. Namun apabila ada kegiatan mahasiswa yang melibatkan seluruh mahassiswa Fakultas Dharma Duta, maka kegiatan tersebut biasanya diadakan di Kampus Bangli. Demikian pula kegiatan mahasiswa yang melibatkan seluruh mahasiswa UHN Sugriwa biasanya diadakan di kampus Bangli.
Kampus Bangli ada di Jalan Nusantara Kubu Bangli. Kampus ini sangat sejuk dengan lingkungan yang tenang dan damai. Lingkungan belajar yang mendukung tersebut akan bermanfaat untuk meningkatkan fokus mahasiswa. UHN Sugriwa telah memiliki kerjasama dengan Dinas Perhubungan untuk transportasi Bus Damri dari Kampus Ratna Denpasar. Sehingga apabila mahasiswa berkuliah di Denpasar namun ingin melakukan perjalanan ke kampus Bangli dapat menggunakan transportasi Bus Damri secara gratis.
Sistem perkuliahan biasanya dilakukan secara blended learning, yaitu 6 pertemuan dilakukan secara online dan 10 pertemuan dilakukan secara offline. Media online biasanya menggunakan Zoom atau Google Meet. Sedangkan perkuliahan offline dilakukan sesuai pilihan kampus mahasiswa. Kelas Denpasar melakukan kuliah offline di Kampus Ratna (Jalan Ratna no 51 Denpasar) dan Kelas Bangli melakukan offline di Kampus Bangli, jalan Nusantara Kubu Bangli. "
Kenapa sih Prodi Informatika ini dibentuk?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Visi dari Prodi Informatika itu apa ya?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Misinya Prodi Informatika itu apa aja sih?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Sebenarnya tujuan dibentuknya Prodi Informatika itu buat apa?,"Prodi informatika Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar (selanjutnya disingkat UHN Sugriwa) memperoleh ijin operasional pada tanggal 15 Desember 2022. Mahasiswa angkatan pertama prodi ini sebanyak 49 orang. Prodi ini cukup populer di UHN Sugriwa. Pesatnya perkembangan Teknologi Informasi (TI) menuntut penguasaan terhadap teknologi menjadi demikian penting. Perkembangan TI yang sangat pesat ini membuka banyak peluang kerja pada banyak sektor, baik telekomunikasi, perbankan, industri, perdagangan, pemerintahan, pendidikan serta bidang-bidang lainnya. Tingginya kebutuhan di masyarakat terkait dengan bidang Teknologi Informasi ini menjadi pertimbangan Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar untuk mengajukan pembukaan Program Studi Informatika yang nantinya juga mempelajari berbagai ilmu yang terkait dengan Teknologi Informasi.
Visi Prodi Informatika adalah ""Menjadi prodi yang inovatif, unggul, dan adaptif dalam budaya pada pengembangan teknologi, perangkat lunak, dan sistem cerdas yang berkelanjutan tahun 2045."". 
Misi Prodi Informatikan adalah:
 A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya. 
Tujuan Prodi Informatika adalah 
A. Menyelenggarakan pendidikan program sarjana yang berkualitas dalam bidang Informatika dengan fokus perangkat lunak dan sistem cerdas berbasis budaya.
B. Melaksanakan penelitian dalam rangka pengembangan ilmu pengetahuan dan teknologi untuk sistem cerdas berbasis budaya.
C. Melaksanakan pengabdian kepada masyarakat dan komunitas profesi bidang Informatika, khususnya komunitas yang relevan dengan pengembangan mesin dan sistem cerdas berbasis budaya."
Mata kuliah penciri nasional itu maksudnya gimana? Contohnya kayak apa?,"A. Mata Kuliah Penciri Nasional terdiri dari Pancasila, Pendidikan Kewarganegaraan, Bahasa Indonesia, Pendidikan Agama"
Kalau mata kuliah penciri universitas itu gimana ceritanya?,"B. Mata Kuliah Penciri Universitas
1. Susastra Weda 3 SKS
2. Bahasa Sanskerta 3 SKS
3. Bahasa Bali 2 SKS
4. Moderasi Beragama 2 SKS
5. Bahasa Inggris 2 SKS"
Lulusan Informatika nanti bisa kerja jadi apa aja?,"Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar dapat menjadi Programming and Software Development, baik menjadi AI Engineer maupun Software Engineer.
Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar juga dapat menjadi Instruktur Dan Asisten Peneliti Bidang Informatika/Ilmu Komputer.
Seorang AI Engineer akan bekerja dalam merancang, membangun, dan mengimplementasikan sistem kecerdasan buatan (Artificial Intelligence), termasuk machine learning, deep learning, natural language processing, dan computer vision, dengan menggunakan bahasa pemrograman seperti Python serta pustaka seperti TensorFlow dan PyTorch. Mahasiswa akan belajar bagaimana mengolah data, melatih model, mengevaluasi performa, dan mengintegrasikan solusi AI ke dalam sistem nyata.
Seorang Software Engineer bertugas untuk merancang, membangun, menguji, dan memelihara sistem atau aplikasi perangkat lunak yang efisien, andal, dan mudah digunakan. Pekerjaan ini mencakup berbagai aktivitas mulai dari menulis kode program, merancang arsitektur sistem, melakukan debugging (perbaikan bug), hingga menerapkan pengujian perangkat lunak untuk memastikan kualitas dan stabilitas aplikasi. Software engineer bekerja dengan berbagai bahasa pemrograman seperti Java, Python, C++, atau JavaScript, serta menggunakan framework dan alat bantu seperti React, Node.js, atau Spring Boot sesuai kebutuhan proyek. Mereka juga terlibat dalam pengelolaan basis data (SQL/NoSQL), integrasi antarsistem, dan penggunaan tools DevOps seperti Git, Docker, dan CI/CD pipelines. Dalam lingkungan kerja, mereka sering berkolaborasi dalam tim menggunakan metodologi agile atau scrum. Software engineer dapat bekerja di berbagai sektor industri, mengembangkan aplikasi web, mobile, desktop, sistem backend, hingga sistem enterprise dan perangkat lunak khusus (custom software) untuk kebutuhan bisnis atau pemerintahan.
Seorang Asisten Peneliti di bidang Informatika atau Ilmu Komputer berperan dalam membantu pelaksanaan riset ilmiah yang berkaitan dengan teknologi informasi, komputasi, dan aplikasi digital. Tugas utamanya meliputi pengumpulan dan analisis data, implementasi algoritma, pemrograman eksperimen, pembuatan prototipe sistem, serta penyusunan laporan dan publikasi ilmiah. Asisten peneliti sering bekerja di bawah bimbingan dosen, peneliti senior, atau lembaga riset untuk mendukung pengembangan teknologi baru, seperti kecerdasan buatan, sistem cerdas, pemrosesan data besar (big data), keamanan siber. Mereka diharapkan memiliki kemampuan teknis yang kuat, seperti penguasaan bahasa pemrograman (Python, C++, PHP, atau Javascript, dsb), penggunaan alat statistik dan machine learning, serta pemahaman tentang metodologi penelitian. Selain itu, asisten peneliti juga harus mampu bekerja secara kolaboratif, teliti dalam dokumentasi, dan aktif dalam diskusi akademik atau seminar ilmiah. Posisi ini ideal bagi lulusan baru yang ingin mendalami dunia riset dan akademik, atau melanjutkan studi ke jenjang yang lebih tinggi.
Lulusan Program Studi Informatika UHN I Gusti Bagus Sugriwa Denpasar dipersiapkan untuk menjadi tenaga profesional di bidang teknologi informasi yang lebih dari sekadar operator atau tenaga administrasi kantor. Dengan kompetensi inti sebagai AI Engineer, Software Engineer, Instruktur TIK, dan Asisten Peneliti Bidang Informatika/Ilmu Komputer, lulusan dibekali kemampuan teknis dan analitis tingkat tinggi, termasuk pemrograman, pengembangan sistem cerdas, perancangan perangkat lunak, serta riset dan inovasi berbasis data. Kurikulum yang disusun juga mengikuti perkembangan teknologi terkini seperti machine learning, data science, cloud computing, keamanan siber, dan pengembangan aplikasi multiplatform. Dengan demikian, lulusan memiliki kualifikasi untuk menciptakan solusi teknologi, bukan hanya menjalankan sistem yang ada. Hal ini menunjukkan bahwa lulusan Informatika diarahkan menjadi pencipta teknologi, problem solver, dan kontributor aktif dalam dunia digital, bukan sekadar pengguna atau pelaksana administratif. Maka dari itu, prospek kerja mereka terbuka luas di berbagai sektor teknologi dan industri kreatif, tidak terbatas pada peran administratif di perkantoran."
Semester 1 biasanya belajar mata kuliah apa aja?,"Algoritma Pemrograman, Pengenalan Pemrograman, Logika Matematika, Jaringan Komputer, Kalkulus, Bahasa Inggris.
Mata kuliah Algoritma Pemrograman diajarkan pada semester 1. Matakuliah Algoritma Pemrograman  membahas konsep dasar algoritma dan penerapannya dalam pemrograman. Mahasiswa akan mempelajari cara merancang solusi pemecahan masalah menggunakan struktur algoritma yang efisien, termasuk struktur data dasar, perulangan, percabangan, dan rekursi. Mata kuliah ini menjadi fondasi penting dalam pengembangan logika pemrograman dan pembuatan program yang optimal.
Mata kuliah Pengenalan Pemrograman diajarkan pada semester 1. Matakuliah Pengenalan Pemrograman memberikan pengantar tentang dasar-dasar pemrograman komputer. Mahasiswa akan diperkenalkan pada konsep sintaks dan semantik bahasa pemrograman, struktur kontrol (seperti percabangan dan perulangan), penggunaan variabel, fungsi, serta debugging. Tujuan utamanya adalah membangun pemahaman awal dan keterampilan dasar dalam menulis kode program.
Mata kuliah Logika Matematika diajarkan pada semester 1. Matakuliah Logika Matematika mempelajari dasar-dasar logika formal yang digunakan dalam ilmu komputer, seperti proposisi, logika predikat, tabel kebenaran, inferensi logis, serta teori himpunan dan relasi. Mahasiswa akan dilatih berpikir sistematis dan rasional dalam menganalisis dan memvalidasi argumen, yang sangat penting untuk pengembangan algoritma dan desain sistem.
Mata kuliah Jaringan Komputer diajarkan pada semester 1. Matakuliah Jaringan Komputer membahas prinsip dasar komunikasi data dan jaringan komputer. Topik mencakup arsitektur jaringan, model OSI dan TCP/IP, protokol jaringan, pengalamatan IP, routing, dan keamanan jaringan. Mahasiswa akan memahami bagaimana komputer saling terhubung dan bertukar data dalam berbagai skala jaringan.
Mata kuliah Kalkulus diajarkan pada semester 1. Matakuliah Kalkulus membahas konsep dasar kalkulus diferensial dan integral yang digunakan dalam analisis matematis di bidang informatika. Topik mencakup limit, turunan, integral, fungsi multivariat, serta aplikasinya dalam pemodelan dan analisis sistem dinamis. Pemahaman kalkulus berguna dalam bidang seperti grafika komputer, machine learning, dan simulasi.
Mata kuliah Bahasa Inggris diajarkan di semester 1. Matakuliah Bahasa Inggris dirancang untuk meningkatkan kemampuan berbahasa Inggris mahasiswa, terutama dalam konteks akademik dan profesional. Fokus utama mencakup keterampilan membaca teks teknis, menulis laporan, serta komunikasi lisan dalam diskusi dan presentasi. Penguasaan bahasa Inggris sangat penting untuk mengakses literatur ilmiah dan berkomunikasi di industri global. """
Mata kuliah Algoritma Pemrograman itu ngapain aja sih?,"Mata kuliah Algoritma Pemrograman diajarkan pada semester 1. Matakuliah Algoritma Pemrograman  membahas konsep dasar algoritma dan penerapannya dalam pemrograman. Mahasiswa akan mempelajari cara merancang solusi pemecahan masalah menggunakan struktur algoritma yang efisien, termasuk struktur data dasar, perulangan, percabangan, dan rekursi. Mata kuliah ini menjadi fondasi penting dalam pengembangan logika pemrograman dan pembuatan program yang optimal."
Pengenalan Pemrograman itu isinya belajar tentang apa?,"Mata kuliah Pengenalan Pemrograman diajarkan pada semester 1. Matakuliah Pengenalan Pemrograman memberikan pengantar tentang dasar-dasar pemrograman komputer. Mahasiswa akan diperkenalkan pada konsep sintaks dan semantik bahasa pemrograman, struktur kontrol (seperti percabangan dan perulangan), penggunaan variabel, fungsi, serta debugging. Tujuan utamanya adalah membangun pemahaman awal dan keterampilan dasar dalam menulis kode program."
Logika Matematika itu beneran sesulit namanya nggak sih?,"Mata kuliah Logika Matematika diajarkan pada semester 1. Matakuliah Logika Matematika mempelajari dasar-dasar logika formal yang digunakan dalam ilmu komputer, seperti proposisi, logika predikat, tabel kebenaran, inferensi logis, serta teori himpunan dan relasi. Mahasiswa akan dilatih berpikir sistematis dan rasional dalam menganalisis dan memvalidasi argumen, yang sangat penting untuk pengembangan algoritma dan desain sistem."
Mata kuliah Jaringan Komputer itu bahas soal apa aja?,"Mata kuliah Jaringan Komputer diajarkan pada semester 1. Matakuliah Jaringan Komputer membahas prinsip dasar komunikasi data dan jaringan komputer. Topik mencakup arsitektur jaringan, model OSI dan TCP/IP, protokol jaringan, pengalamatan IP, routing, dan keamanan jaringan. Mahasiswa akan memahami bagaimana komputer saling terhubung dan bertukar data dalam berbagai skala jaringan."
Kalkulus di Informatika tuh kayak gimana? Bedakah sama yang di MIPA?,"Mata kuliah Kalkulus diajarkan pada semester 1. Matakuliah Kalkulus membahas konsep dasar kalkulus diferensial dan integral yang digunakan dalam analisis matematis di bidang informatika. Topik mencakup limit, turunan, integral, fungsi multivariat, serta aplikasinya dalam pemodelan dan analisis sistem dinamis. Pemahaman kalkulus berguna dalam bidang seperti grafika komputer, machine learning, dan simulasi."
Bahasa Inggris di Prodi Informatika lebih fokus ke hal-hal apa?,"Terdapat 3 matakuliah Bahasa di Prodi Informatika, yaitu Bahasa Indonesia, Bahasa Inggris, Bahasa Bali, dan Bahasa Sansekerta.
Mata kuliah Bahasa Inggris diajarkan di semester 1. Matakuliah Bahasa Inggris dirancang untuk meningkatkan kemampuan berbahasa Inggris mahasiswa, terutama dalam konteks akademik dan profesional. Fokus utama mencakup keterampilan membaca teks teknis, menulis laporan, serta komunikasi lisan dalam diskusi dan presentasi. Penguasaan bahasa Inggris sangat penting untuk mengakses literatur ilmiah dan berkomunikasi di industri global. 
Matakuliah Bahasa Bali diajarkan pada semester 6. Mata kuliah Bahasa Bali memberikan pemahaman mengenai Bahasa Bali baik secara lisan maupun tulisan, termasuk struktur kebahasaan, ragam tingkat tutur, serta konteks budaya dan sosial. Mahasiswa akan dilatih menggunakan Bahasa Bali dalam komunikasi akademik maupun profesional sebagai bentuk pelestarian budaya lokal. Matakuliah Bahasa Bali merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Sansekerta diajarkan di semester 7. Matakuliah Bahasa Sansekerta memperkenalkan dasar-dasar tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Sansekerta. Mahasiswa akan memahami peran Bahasa Sansekerta dalam kebudayaan, agama, dan sejarah Indonesia, serta penggunaannya dalam teks-teks kuno, terutama dalam konteks pelestarian nilai-nilai budaya Hindu. Matakuliah Bahasa Sansekerta merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Indonesia diajarkan di semester 7 sebagai bagian dari persiapan untuk menulis tugas akhir. Mata kuliah Bahasa Indonesia dirancang untuk membekali mahasiswa dengan keterampilan berbahasa Indonesia yang baik dan benar dalam konteks akademik dan profesional, khususnya sebagai persiapan menghadapi penulisan karya ilmiah seperti skripsi. Materi meliputi kaidah tata bahasa, struktur penulisan ilmiah, penggunaan bahasa yang logis dan efektif, serta teknik menyusun laporan, proposal, dan artikel ilmiah. Mahasiswa juga dilatih untuk membaca dan menulis secara kritis serta mengungkapkan gagasan secara sistematis dan komunikatif. Melalui mata kuliah ini, mahasiswa diharapkan mampu menghasilkan karya tulis ilmiah yang sesuai dengan standar akademik dan mencerminkan pemahaman mendalam terhadap bidang informatika."
